"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"75","ENSP00000255641","ENSP00000284523","9606.ENSP00000284523","9606.ENSP00000255641",904,"WNT3A","89780","CSNK1G2","1455",0.32,0
"76","ENSP00000354040","ENSP00000285814","9606.ENSP00000285814","9606.ENSP00000354040",997,"NIFK","84365","GTPBP4","23560",0.165,0
"77","ENSP00000375892","ENSP00000286234","9606.ENSP00000286234","9606.ENSP00000375892",926,"DEPTOR","64798","AKT2","208",0.369,0
"78","ENSP00000260363","ENSP00000376457","9606.ENSP00000376457","9606.ENSP00000260363",999,"ECT2","1894","KIF23","9493",0.333,0
"79","ENSP00000216455","ENSP00000299300","9606.ENSP00000299300","9606.ENSP00000216455",963,"CCT2","10576","PSMA3","5684",0.093,0
"80","ENSP00000382697","ENSP00000446955","9606.ENSP00000446955","9606.ENSP00000382697",942,"MYL6","4637","ROCK1","6093",0.153,0
"81","ENSP00000376952","ENSP00000294008","9606.ENSP00000294008","9606.ENSP00000376952",990,"SLX4","84464","EME1","146956",0.684,1
"82","ENSP00000264563","ENSP00000296870","9606.ENSP00000296870","9606.ENSP00000264563",961,"IL3","3562","IL11","3589",0.616,1
"83","ENSP00000323046","ENSP00000315476","9606.ENSP00000315476","9606.ENSP00000323046",999,"EXOSC4","54512","EXOSC3","51010",0.852,1
"84","ENSP00000329380","ENSP00000380948","9606.ENSP00000380948","9606.ENSP00000329380",984,"ITGB2","3689","GP1BA","2811",0.383,0
"85","ENSP00000304802","ENSP00000416658","9606.ENSP00000416658","9606.ENSP00000304802",943,"NME6","10201","DTYMK","1841",0.043,0
"86","ENSP00000360058","ENSP00000344456","9606.ENSP00000344456","9606.ENSP00000360058",937,"CTNNB1","1499","FRAT2","23401",0.154,0
"87","ENSP00000264424","ENSP00000296518","9606.ENSP00000296518","9606.ENSP00000264424",999,"GUCY1A1","2982","GUCY1B1","2983",0.933,1
"88","ENSP00000366109","ENSP00000386881","9606.ENSP00000386881","9606.ENSP00000366109",992,"DYSF","8291","ANXA1","301",0.244,0
"89","ENSP00000354346","ENSP00000258962","9606.ENSP00000258962","9606.ENSP00000354346",973,"SRSF1","6426","","9782",0.201,0
"90","ENSP00000260731","ENSP00000251496","9606.ENSP00000251496","9606.ENSP00000260731",993,"NCAPG","64151","KIF11","3832",0.361,0
"91","ENSP00000359424","ENSP00000358335","9606.ENSP00000358335","9606.ENSP00000359424",990,"MAP3K7","6885","CHUK","1147",0.632,1
"92","ENSP00000263270","ENSP00000309415","9606.ENSP00000309415","9606.ENSP00000263270",919,"CLTB","1212","AP2S1","1175",1,1
"93","ENSP00000264515","ENSP00000316578","9606.ENSP00000316578","9606.ENSP00000264515",950,"SUZ12","23512","RBBP5","5929",0.126,0
